小学key: 天津市河西区东湖小学+09ee124c01204efaa88ebc5e07337ba9	  old: 0.000000,0.000000	 new: 
小学key: 浮山小学+1c6ee9bc6563fe649735534cf093f952	  old: 0.000000,0.000000	 new: 
小学key: 卢湾区第一中心小学+22ab026892db235c7f235382f2d05344	  old: 0.000000,0.000000	 new: 
小学key: 天津市河西区上海道小学+26380ac2e43749b196c93700ccf7480c	  old: 0.000000,0.000000	 new: 
小学key: 天津市南开小学+2c13510ba0aca6cbafed5386dc8a6796	  old: 0.000000,0.000000	 new: 
小学key: 上海交通大学附属子弟小学+43ac07cf23d94c7d971436199d81f4af	  old: 0.000000,0.000000	 new: 
小学key: 田林第三小学+43b107ccdec37335fd5f5382bc2ece4f	  old: 0.000000,0.000000	 new: 
小学key: 天津师范学校附属小学+4dea4f5352004de5939736416874e19a	  old: 0.000000,0.000000	 new: 
小学key: 平南小学+57a54ca09ce90f777d0d535f3d13b0b9	  old: 0.000000,0.000000	 new: 
小学key: 青岛同安路小学+5941342781bd994a9cce534cc6b89419	  old: 0.000000,0.000000	 new: 
小学key: 天津市和平区岳阳道小学+5e5a13b103bf43d1b63d484eb3b8158c	  old: 0.000000,0.000000	 new: 
小学key: 四川大学附属实验小学清水河校区+6ed3960e5a6c0ba842315385733ed29f	  old: 0.000000,0.000000	 new: 
小学key: 海华小学+864a6740f0535b7f2523537b214e6fd2	  old: 0.000000,0.000000	 new: 
小学key: 天津市河西区闽侯路小学+9acbd85482d24516b6ff2a9543404266	  old: 0.000000,0.000000	 new: 
小学key: 成都市龙祥路小学+9d429288ae506725a77c5385752009ad	  old: 0.000000,0.000000	 new: 
小学key: 天津市第二十中附属小学+9dd57c6afd014ffaaeb498324fe4e5ad	  old: 0.000000,0.000000	 new: 
小学key: 天津河东第二实验小学+b4f98c1a667f4a1288cb7fe4dadef4e0	  old: 0.000000,0.000000	 new: 
小学key: 天津市和平区耀华小学+b8f284303ca84da5be256eea9d5e2e91	  old: 0.000000,0.000000	 new: 
小学key: 北京市宣武区回民小学+b90cf758d74087b07f6753c3949badf6	  old: 0.000000,0.000000	 new: 
小学key: 天津市和平区中心小学+c2613d8b31944a7e871f4562c4933008	  old: 0.000000,0.000000	 new: 
小学key: 万全小学 +dbca8a6ced81fc0206215399033a2406	  old: 0.000000,0.000000	 new: 
小学key: 天津市和平昆明路小学+e16b500c8dd74878bd4577a276c7482d	  old: 0.000000,0.000000	 new: 
小学key: 石老人小学+eb095b7b67cc4b88cb3e534d066486f0	  old: 0.000000,0.000000	 new: 
小学key: 天津市和平区实验小学+f614ab75aab045a1abea19cb2b0d3be1	  old: 0.000000,0.000000	 new: 
小学key: 翠苑第一小学文华校区+f9440290dd8f48e1937a34173dcc8c9b	  old: 0.000000,0.000000	 new: 
小学key: 天津市河西区梅江中心小学+fc5fef8d9c064948ae4f8eee3d449eb2	  old: 0.000000,0.000000	 new: 
小学key: 北京市海淀区实验小学+4000000954	  old: 0.000000,0.000000	 new: 39.933876096707,116.315956895070
小学key: 北京市海淀区中关村第一小学+4000001020	  old: 0.000000,0.000000	 new: 39.989581000000,116.329282000000
小学key: 北京市海淀区花园村第二小学+4000000950	  old: 0.000000,0.000000	 new: 39.937281014550,116.325175485880
小学key: 北京市海淀区玉泉小学+4000000988	  old: 0.000000,0.000000	 new: 39.926733416306,116.263680904220
小学key: 北京市海淀区图强第二小学+4000000986	  old: 0.000000,0.000000	 new: 39.916119501305,116.278117931400
小学key: 北京市海淀区第三实验小学+ff80808139244b340139285af72f005a	  old: 0.000000,0.000000	 new: 39.999540485782,116.347056411490
小学key: 北京市育英学校小学部+4000000989	  old: 0.000000,0.000000	 new: 39.983492466440,116.566761008710
小学key: 北京市海淀区羊坊店第四小学+4000000933	  old: 0.000000,0.000000	 new: 39.909172260673,116.325814450590
小学key: 北京市海淀区太平路小学+4000001005	  old: 0.000000,0.000000	 new: 39.908222939539,116.266261017310
小学key: 北京市朝阳区定福庄第二小学+ff80808139290abb013929619d9c0010	  old: 0.000000,0.000000	 new: 39.919242328669,116.564676221280
小学key: 北京市东城区和平里第一小学+4000000613	  old: 0.000000,0.000000	 new: 39.963941847794,116.426060764140
小学key: 育翔小学德胜里校区+ff80808139290abb01392987ffcb0130	  old: 0.000000,0.000000	 new: 39.961040077387,116.382333767170
小学key: 中国人民大学附属小学+4000001015	  old: 0.000000,0.000000	 new: 39.972449000000,116.284277000000
小学key: 海淀区实验小学苏州街分校+ff80808139be16060139be959d150373	  old: 0.000000,0.000000	 new: 39.933876096707,116.315956895070
小学key: 北京市东城区板厂小学+4000000706	  old: 0.000000,0.000000	 new: 39.891032551107,116.447171213120
小学key: 北京市朝阳区牌坊小学+ff8080813aaf119e013ac6108506051f	  old: 0.000000,0.000000	 new: 39.836561114418,116.469652296640
小学key: 北京市大兴区枣园小学+ff8080813aaf5cad013ac514dbbe0974	  old: 0.000000,0.000000	 new: 39.757571119998,116.333540237290
小学key: 北京市丰台区芳星园小学+ff8080813aaf5cad013ac5dc3ff809ab	  old: 0.000000,0.000000	 new: 39.869792879144,116.444580679690
小学key: 北京市丰台区东高地第一小学+ff8080813aaf5cad013ac5e6810809ad	  old: 0.000000,0.000000	 new: 39.815216598652,116.429323589410
小学key: 北京市丰台区东铁匠营第二小学+ff8080813aaf5cad013ac5fb5f0209b7	  old: 0.000000,0.000000	 new: 39.861074085978,116.426904901830
小学key: 北京市东城区体育馆路小学+ff8080813b467df3013b63f482300870	  old: 0.000000,0.000000	 new: 39.891745103861,116.432932711460
小学key: 北京市顺义区李桥小学+ff8080813b91e1ca013b9741188e0110	  old: 0.000000,0.000000	 new: 40.036450109103,116.674423103740
小学key: 北京市润丰学校+ff8080813b923f83013b98ba70d90227	  old: 0.000000,0.000000	 new: 39.933268966621,116.519681805070
小学key: 北京市顺义区双兴小学+ff8080813b923f83013ba77111110334	  old: 0.000000,0.000000	 new: 40.146572464852,116.665500324940
小学key: 北京市西城区外国语附属小学+ff8080813b923f83013ba78dd75c03ce	  old: 0.000000,0.000000	 new: 39.935798627972,116.359784322600
小学key: 北京市海淀区魏公村小学+4000000956	  old: 0.000000,0.000000	 new: 39.959229838470,116.324185193880
小学key: 北京市通州区官园小学+ff8080813b923f83013ba7cb6796040f	  old: 0.000000,0.000000	 new: 39.910264773000,116.655819645780
小学key: 北京市通州区东方小学+ff8080813b923f83013ba7ef0e610441	  old: 0.000000,0.000000	 new: 39.908731086046,116.672292323070
小学key: 北京市通州区中山街小学+ff8080813bac7475013bb29a6c3c003b	  old: 0.000000,0.000000	 new: 39.913439614311,116.659052647310
小学key: 北京市海淀区艺术师范附属小学+4000000970	  old: 0.000000,0.000000	 new: 39.969450148641,116.357049072150
小学key: 丰台第八小学+ff8080813db05409013db4325d720073	  old: 0.000000,0.000000	 new: 39.844385808220,116.295679354960
小学key: 北京市大兴区黄村镇第二中心小学+ff8080813db05409013db4392d110079	  old: 0.000000,0.000000	 new: 39.759601525885,116.298056810330
小学key: 北京市海淀区永泰小学+4000001002	  old: 0.000000,0.000000	 new: 40.039125345540,116.364534472300
小学key: 北京铭师实验学校+ff8080813db05409013db49863c6009e	  old: 0.000000,0.000000	 new: 40.079301371855,116.335780162080
小学key: 北京市昌平区回龙观第二小学+ff8080813db05409013db4a0d80100a6	  old: 0.000000,0.000000	 new: 40.070567098644,116.338796851650
小学key: 北京小学广外分校+ff8080813db05409013db4b384fb00ab	  old: 0.000000,0.000000	 new: 39.891706000000,116.338051000000
小学key: 北京市宣武区红莲小学+ff8080813db05409013db4be579800af	  old: 0.000000,0.000000	 new: 39.887808705003,116.341096873070
小学key: 北京市宣武区三义里小学+ff8080813db05409013db4c37f8900b1	  old: 0.000000,0.000000	 new: 39.893007916946,116.335966201150
小学key: 北京市丰台区第一小学丰益分校+ff8080813db05409013db4cc083100b5	  old: 0.000000,0.000000	 new: 39.866921000000,116.315436000000
小学key: 北京丰台第六小学+ff8080813db05409013db4d1a93300b8	  old: 0.000000,0.000000	 new: 39.867285473461,116.297102450550
小学key: 北京市丰台区第七小学+ff8080813db05409013db4d5eab600bb	  old: 0.000000,0.000000	 new: 39.841937852205,116.258370335470
小学key: 芳草地国际学校远洋小学+ff8080813db05409013db4f206e900c2	  old: 0.000000,0.000000	 new: 39.920021404859,116.501751537260
小学key: 北京市朝阳区新源里第四小学+ff8080813db05409013db4f77e6300c3	  old: 0.000000,0.000000	 new: 39.960736738193,116.461847279390
小学key: 北京理工大学附中小学部+47715479	  old: 0.000000,0.000000	 new: 39.952252023689,116.310942284220
小学key: 北京市朝阳区枣营小学+ff8080813db4ffd8013db50db0280004	  old: 0.000000,0.000000	 new: 39.952734190811,116.478202458310
小学key: 北京市海淀区中关村第二小学+4000001018	  old: 0.000000,0.000000	 new: 39.993321284232,116.324343205820
小学key: 北京市朝阳区新源里小学+ff8080813db4ffd8013db52655f80017	  old: 0.000000,0.000000	 new: 39.955894602914,116.458085804720
小学key: 北京市海淀区五一小学+4000000983	  old: 0.000000,0.000000	 new: 39.926979778220,116.213706551750
小学key: 北京市朝阳区华严里小学+ff8080813db53176013db542c5950006	  old: 0.000000,0.000000	 new: 39.992314061464,116.388957422850
小学key: 北京师范大学大兴附属小学+ff8080813db53176013db54689650007	  old: 0.000000,0.000000	 new: 39.779100721557,116.325266124900
小学key: 北京市朝阳区安慧里中心小学+4000000807	  old: 0.000000,0.000000	 new: 40.000277048731,116.421306122910
小学key: 北京市海淀区清华东路小学+ff8080813db53176013db55068d1000c	  old: 0.000000,0.000000	 new: 40.007193758559,116.374846211080
小学key: 教育科学研究院通州第一实验小学+ff8080813db53176013db55422e8000e	  old: 0.000000,0.000000	 new: 39.809814883851,116.740079180680
小学key: 北京市朝阳区北苑小学+ff8080813db53176013db55b41160010	  old: 0.000000,0.000000	 new: 40.033748802219,116.436035997680
小学key: 北京景山学校北校区小学部+4000000652	  old: 0.000000,0.000000	 new: 39.954382341309,116.432158282280
小学key: 北京市东城区史家小学分校+4000000641	  old: 0.000000,0.000000	 new: 39.941618033433,116.437353272880
小学key: 陈经纶北工大帝景实验学校+47714866	  old: 0.000000,0.000000	 new: 38.742105841857,114.127332806500
小学key: 北京市海淀区清河第一小学+ff8080813db53176013db56eeea0001a	  old: 0.000000,0.000000	 new: 40.033700878063,116.344818732460
小学key: 北京市昌平区霍营中心小学+ff8080813db53176013db57de606001d	  old: 0.000000,0.000000	 new: 40.092310763894,116.357333116350
小学key: 北京第一师范学校附属小学+4000000728	  old: 0.000000,0.000000	 new: 39.871737574389,116.422314830160
小学key: 北京市育鸿学校小学部+47715581	  old: 0.000000,0.000000	 new: 39.912426708487,116.319436930620
小学key: 北京市丰台区实验小学+ff8080813db53176013db5a492f30025	  old: 0.000000,0.000000	 new: 39.841925318705,116.299783353520
小学key: 北京市丰台区第五小学+ff8080813db53176013db5ace2060026	  old: 0.000000,0.000000	 new: 39.858905671258,116.290286467670
小学key: 北京市东城区前门小学+45711776	  old: 0.000000,0.000000	 new: 39.906331729449,116.413429331040
小学key: 北京市东城区培新小学+47715249	  old: 0.000000,0.000000	 new: 
小学key: 枣园双语实验小学+ff8080813db53176013db5b7358c002a	  old: 0.000000,0.000000	 new: 
小学key: 北京小学翡翠城分校+ff8080813db53176013db604ae9a002b	  old: 0.000000,0.000000	 new: 39.745461550943,116.331159548030
小学key: 北京市梨园镇中心小学+ff8080813db53176013db60aff8d0030	  old: 0.000000,0.000000	 new: 39.876726009707,116.675004666730
小学key: 北京市朝阳区第二实验小学+ff8080813db53176013db60eb93d0033	  old: 0.000000,0.000000	 new: 39.910163699744,116.375737599640
小学key: 陈经纶中学嘉铭分校西校区小学部+ff8080813db53176013db610833c0034	  old: 0.000000,0.000000	 new: 40.003859155004,116.420707402280
小学key: 北京实验二小大兴分校+ff8080813db53176013db61541f60036	  old: 0.000000,0.000000	 new: 39.652790118364,116.425194597380
小学key: 北京市海淀区培英小学+4000000985	  old: 0.000000,0.000000	 new: 39.906416688362,116.283809235790
小学key: 北京市海淀区北洼路小学+4000000946	  old: 0.000000,0.000000	 new: 39.947979433596,116.307902777700
小学key: 北京市东城区和平里第九小学+4000000622	  old: 0.000000,0.000000	 new: 39.966929621507,116.428254875350
小学key: 北京师范大学奥林匹克花园实验小学+ff8080813db53176013dc37370d50070	  old: 0.000000,0.000000	 new: 39.967045402607,116.547302633400
小学key: 北京小学走读部+4000000734	  old: 0.000000,0.000000	 new: 39.898592412607,116.352796314210
小学key: 北京市西城区奋斗小学东校区+4000000684	  old: 0.000000,0.000000	 new: 39.907691889517,116.368750669220
小学key: 北京市育才学校小学部+4000000759	  old: 0.000000,0.000000	 new: 39.883914000000,116.399665000000
小学key: 北京市西城区自忠小学+4000000679	  old: 0.000000,0.000000	 new: 39.923876050793,116.388211469950
小学key: 北京市西城区中古友谊小学+4000000676	  old: 0.000000,0.000000	 new: 39.921738135460,116.346792668990
小学key: 北京市西城区展览路第一小学+4000000705	  old: 0.000000,0.000000	 new: 39.935875666400,116.346048782200
小学key: 北京市西城区育翔小学+4000000683	  old: 0.000000,0.000000	 new: 39.972234612211,116.384731524240
小学key: 北京市西城区育民小学+4000000663	  old: 0.000000,0.000000	 new: 39.911979259691,116.356442985420
小学key: 北京市西城区师范学校附属小学+4000000671	  old: 0.000000,0.000000	 new: 39.961485820397,116.397419370920
小学key: 北京市西城区三里河第三小学+4000000701	  old: 0.000000,0.000000	 new: 39.916562426501,116.344612840840
小学key: 北京市西城区黄城根小学+4000000693	  old: 0.000000,0.000000	 new: 39.937065000000,116.383303000000
